run_id	resolution	steps	status	wall_time_ms	text_score	layout_score	loop_error	input_ocr_chars	mid_ocr_chars	mid_ocr_sample
20260424T012710Z-stub_freeze-960x544	960x544	4	stub	416.229	0.8791	1.0000	0.0007	712	713	structured visual page with labels, diagrams, and dense text for stabilty checks Arena Floor Velarium Trapdoors, its, and service passages created sudden reveals during public spedaelsactabe awning system shaded spectato
20260424T013908Z-modal-ltx-s2-960x544	960x544	2	near_miss	1628.080	0.0200	0.9993	0.0166	763	643	Astroemred visual page with Indets, diagrams, snd danse test for stability checks. Arena Floor Yelaraim Trapdoers, dite, and SINWICE PRORADES Creaied sudden fevents dung public wedteEmEctAhte awning syuaM shaded spactaln
20260424T013910Z-modal-ltx-s3-960x544	960x544	3	pass	1238.974	0.0175	0.9989	0.0228	763	473	Astructured visual pape wlth inbels, dlagrarns. and danse text for aati checks Arena Floor Yetariuum Seating Materials Sncial dor was anced ito Be snchtacurs teugh Hesud, sAperHied seating huBdtine, ti, trick, and cancre
20260424T013911Z-modal-ltx-s4-960x544	960x544	4	near_miss	1314.849	0.0177	0.9988	0.0229	763	417	Arena Floor Vetarium Seating Materials ‘Snecinl ardor nas ancedied into he schluctus Uneugh terad, sapariind seatiog busemine, tll, brick, and concrete camiad batt syucture and amament Annotated Section Diagram segs many
20260424T013913Z-modal-ltx-s2-768x448	768x448	2	pass	884.885	0.2979	0.9997	0.0114	763	166	Sketchapedia: Roman Colosseum Arena Floor Velarium Seating Materials Annotated Section Diagram “EGF geeremysheht ot wot cr nt = a 9. Lamp boweatiry stumate be vena ot
20260424T013914Z-modal-ltx-s3-768x448	768x448	3	pass	892.319	0.1705	0.9994	0.0165	763	214	Sketchapedia: Roman Colosseum Arena Floor Velariue Seating Materials Annotatad Section Diagram ne é Ss =>» 2. tetera aortas aca ane, oc Ss SZ large ANU trusted ut ho camniR let Reme sect Ss Lang Cowes sna wauaty nt
20260424T013914Z-modal-ltx-s4-768x448	768x448	4	pass	1002.189	0.2761	0.9994	0.0151	763	210	Sketchapedia: Roman Colosseum Arena Floor Velarium Seating Materials Annotated Section Diagram omen ») 3 Menno a Bk hy erm Lo Se] Z POE as usd ie fe emetic fr te. ‘ SS ———— |S Lenyp Connery shunt bo vesaatty et
20260424T013916Z-modal-ltx-s2-1280x736	1280x736	2	near_miss	1741.895	0.4364	0.9988	0.0196	763	95	Sketchapedia: Roman Colosseum Arena Floor Velarium Seating Materials Annotated Section Diagram
20260424T013918Z-modal-ltx-s3-1280x736	1280x736	3	near_miss	1978.863	0.3445	0.9978	0.0317	763	29	Sketchapedia: Roman Colosseum
20260424T013920Z-modal-ltx-s4-1280x736	1280x736	4	near_miss	2104.373	0.4124	0.9975	0.0348	763	89	Sketchapedia: Roman Colosseum Arena Floor Velarium Seating Materials Annotated Section T
20260424T013922Z-modal-ltx-s2-960x544	960x544	2	pass	1259.503	0.0200	0.9993	0.0166	763	643	Astroemred visual page with Indets, diagrams, snd danse test for stability checks. Arena Floor Yelaraim Trapdoers, dite, and SINWICE PRORADES Creaied sudden fevents dung public wedteEmEctAhte awning syuaM shaded spactaln
20260424T013924Z-modal-ltx-s3-960x544	960x544	3	pass	1199.864	0.0175	0.9989	0.0228	763	473	Astructured visual pape wlth inbels, dlagrarns. and danse text for aati checks Arena Floor Yetariuum Seating Materials Sncial dor was anced ito Be snchtacurs teugh Hesud, sAperHied seating huBdtine, ti, trick, and cancre
20260424T013925Z-modal-ltx-s4-960x544	960x544	4	near_miss	1319.148	0.0177	0.9988	0.0229	763	417	Arena Floor Vetarium Seating Materials ‘Snecinl ardor nas ancedied into he schluctus Uneugh terad, sapariind seatiog busemine, tll, brick, and concrete camiad batt syucture and amament Annotated Section Diagram segs many
20260424T013926Z-modal-ltx-s2-768x448	768x448	2	pass	907.021	0.2979	0.9997	0.0114	763	166	Sketchapedia: Roman Colosseum Arena Floor Velarium Seating Materials Annotated Section Diagram “EGF geeremysheht ot wot cr nt = a 9. Lamp boweatiry stumate be vena ot
20260424T013927Z-modal-ltx-s3-768x448	768x448	3	pass	864.036	0.1705	0.9994	0.0165	763	214	Sketchapedia: Roman Colosseum Arena Floor Velariue Seating Materials Annotatad Section Diagram ne é Ss =>» 2. tetera aortas aca ane, oc Ss SZ large ANU trusted ut ho camniR let Reme sect Ss Lang Cowes sna wauaty nt
20260424T013928Z-modal-ltx-s4-768x448	768x448	4	pass	930.251	0.2761	0.9994	0.0151	763	210	Sketchapedia: Roman Colosseum Arena Floor Velarium Seating Materials Annotated Section Diagram omen ») 3 Menno a Bk hy erm Lo Se] Z POE as usd ie fe emetic fr te. ‘ SS ———— |S Lenyp Connery shunt bo vesaatty et
20260424T013930Z-modal-ltx-s2-1280x736	1280x736	2	near_miss	1711.063	0.4364	0.9988	0.0196	763	95	Sketchapedia: Roman Colosseum Arena Floor Velarium Seating Materials Annotated Section Diagram
20260424T013931Z-modal-ltx-s3-1280x736	1280x736	3	near_miss	1949.141	0.3445	0.9978	0.0317	763	29	Sketchapedia: Roman Colosseum
20260424T013933Z-modal-ltx-s4-1280x736	1280x736	4	near_miss	2103.139	0.4124	0.9975	0.0348	763	89	Sketchapedia: Roman Colosseum Arena Floor Velarium Seating Materials Annotated Section T
20260424T013936Z-modal-ltx-s2-960x544	960x544	2	pass	1215.610	0.0200	0.9993	0.0166	763	643	Astroemred visual page with Indets, diagrams, snd danse test for stability checks. Arena Floor Yelaraim Trapdoers, dite, and SINWICE PRORADES Creaied sudden fevents dung public wedteEmEctAhte awning syuaM shaded spactaln
20260424T013937Z-modal-ltx-s3-960x544	960x544	3	pass	1278.150	0.0175	0.9989	0.0228	763	473	Astructured visual pape wlth inbels, dlagrarns. and danse text for aati checks Arena Floor Yetariuum Seating Materials Sncial dor was anced ito Be snchtacurs teugh Hesud, sAperHied seating huBdtine, ti, trick, and cancre
20260424T013938Z-modal-ltx-s4-960x544	960x544	4	near_miss	1321.995	0.0177	0.9988	0.0229	763	417	Arena Floor Vetarium Seating Materials ‘Snecinl ardor nas ancedied into he schluctus Uneugh terad, sapariind seatiog busemine, tll, brick, and concrete camiad batt syucture and amament Annotated Section Diagram segs many
20260424T013940Z-modal-ltx-s2-768x448	768x448	2	pass	819.609	0.2979	0.9997	0.0114	763	166	Sketchapedia: Roman Colosseum Arena Floor Velarium Seating Materials Annotated Section Diagram “EGF geeremysheht ot wot cr nt = a 9. Lamp boweatiry stumate be vena ot
20260424T013941Z-modal-ltx-s3-768x448	768x448	3	pass	949.024	0.1705	0.9994	0.0165	763	214	Sketchapedia: Roman Colosseum Arena Floor Velariue Seating Materials Annotatad Section Diagram ne é Ss =>» 2. tetera aortas aca ane, oc Ss SZ large ANU trusted ut ho camniR let Reme sect Ss Lang Cowes sna wauaty nt
